Motif	Num	Protection_Score_E14F_chr25	Protection_Score_wingE_chr25	TC_E14F_chr25	TC_wingE_chr25	TF_Activity	Z_score	P_values
MA0802.1.TBR1	7	1.2739012	0.3210348	1.0899523	0.706709	-1.3361097574234009	-0.9473061677057605	0.3434827888919171
MA1101.2.BACH2	5	-0.079115815	-0.83833957	1.2942834	1.5261519	-0.527355246245861	-0.2816135631860472	0.778239839051955
MA0469.3.E2F3	4	-0.73450947	0.4015131	2.4153478	1.932301	0.6529757976531982	0.6899267941772884	0.49024022496757313
MA0657.1.KLF13	26	1.184499	1.575171	2.2846453	2.739807	0.8458335399627686	0.8486696153986792	0.3960651580186254
MA1133.1.JUN::JUNB(var.2)	2	-1.4962733	-1.1705564	2.2226484	2.0298765	0.13294494152069092	0.26188504570477733	0.7934100691685249
MA0898.1.Hmx3	1	0.22878805	0.6028516	0.23194735	0.5371903	0.6793065518140793	0.711599858220918	0.4767125948639088
MA0613.1.FOXG1	2	-1.4410164	0.22027567	1.5484883	0.48607406	0.5988779067993164	0.6453983676104804	0.5186690609909673
MA1529.1.NHLH2	20	-0.9610313	-0.6020448	1.3390036	1.1015865	0.12156939506530762	0.25252173824489876	0.8006378137359231
MA0633.1.Twist2	6	1.0253589	1.8874025	0.5427453	1.0560015	1.375299870967865	1.2844777821798423	0.19897483262793092
MA1527.1.NFIC(var.2)	16	1.3935791	0.77357936	1.347793	1.0268781	-0.9409146308898926	-0.6220177526927193	0.5339301947790654
MA1601.1.ZNF75D	17	1.0958166	1.1734183	0.7878949	1.1258879	0.4155946373939514	0.49453637514047893	0.6209274235895956
MA1635.1.BHLHE22(var.2)	12	-0.42881387	-0.8413718	0.54454255	0.9119968	-0.04510366916656494	0.11533174462093737	0.9081821776681367
MA0697.1.ZIC3	45	0.6224456	0.6070966	1.4006035	1.3216926	-0.09425991773605347	0.07487082516220457	0.9403174895329233
MA1542.1.OSR1	2	0.165357	0.52594256	0.28358296	0.66181594	0.7388185560703278	0.7605846868258908	0.4469051690178626
MA0624.1.NFATC1	3	0.02195248	0.068236575	0.381256	0.45828226	0.12331034243106842	0.2539547265871309	0.7995305345972855
MA0785.1.POU2F1	4	0.16306435	0.23004526	0.258897	0.49305794	0.3011418431997299	0.4003293226805459	0.6889139733395584
MA1145.1.FOSL2::JUND(var.2)	16	2.3888755	1.9086537	1.8134851	1.6141186	-0.6795883178710938	-0.4069178780846267	0.6840683046991791
MA0625.1.NFATC3	1	-0.2869389	0.04089263	0.41923392	0.36105713	0.2696547508239746	0.3744120335122286	0.7080977915069065
MA0047.3.FOXA2	4	1.428786	1.0533043	1.2354075	0.8888499	-0.7220392823219299	-0.44185962208616014	0.6585907909221582
MA0606.1.NFAT5	3	0.2870043	0.18145771	0.9016478	0.6866307	-0.3205636590719223	-0.11140167768057616	0.9112978297467971
MA1508.1.IKZF1	22	0.9662577	0.9643991	0.89900875	0.7628289	-0.13803845643997192	0.03883634368593248	0.9690208686096408
MA0520.1.Stat6	5	0.2621417	0.3696877	0.3890876	0.6647195	0.3831779360771179	0.4678539170752734	0.6398890602622596
MA0036.3.GATA2	7	1.591192	0.4084842	2.6515005	0.86169904	-2.9725092351436615	-2.294240268601507	0.021776701446095968
MA0050.2.IRF1	20	0.9889499	1.037411	0.8254925	0.7362334	-0.04079800844192505	0.1188757699862989	0.905373778370147
MA1639.1.MEIS1(var.2)	3	-0.21496333	0.09942429	0.371974	0.48807612	0.43048974871635437	0.5067966658885139	0.6122974959766256
MA1116.1.RBPJ	16	0.5116865	0.8092854	0.6628264	0.77946603	0.41423851251602173	0.49342013740756224	0.6217157565126772
MA1466.1.ATF6	18	0.5512069	1.0305413	1.4310468	1.4018719	0.45015949010849	0.5229869945934447	0.6009833036813002
MA0661.1.MEOX1	6	0.13791044	0.1471114	0.22520742	0.2955354	0.07952892780303955	0.21791787791366238	0.8274930973160486
MA1537.1.NR2F1(var.2)	4	-0.23865817	-0.71813685	0.1694999	0.371079	-0.2778995782136917	-0.07628451578109777	0.9391927445620091
MA1506.1.HOXD10	1	0.55196184	0.25394315	0.9045652	1.0230299	-0.17955398559570312	0.004664564302032458	0.9962782296570202
MA1475.1.CREB3L4(var.2)	6	-0.37651363	0.14189878	2.3166735	1.36076	-0.43750113248825073	-0.2076538903960633	0.8354992229384782
MA0817.1.BHLHE23	5	0.38243794	0.11733864	0.639315	0.41042224	-0.49399207532405853	-0.2541520580704416	0.7993780868260297
MA0912.2.HOXD3	1	0.117473505	0.37665212	0.05636385	0.2903036	0.4931183531880379	0.5583467942055573	0.5766075970738619
MA1528.1.NFIX(var.2)	6	0.40051135	0.36018443	0.27232057	0.306996	-0.005651503801345825	0.14780515200592542	0.8824965432886339
MA0740.1.KLF14	82	0.64943624	1.199834	1.9751879	2.3519666	0.9271764755249023	0.9156236662079847	0.35986431412504416
MA1485.1.FERD3L	14	1.4755222	1.2847686	1.9313874	1.3261657	-0.7959753274917603	-0.5027169994445003	0.6151632561088922
MA0864.2.E2F2	4	4.5204678	3.7810075	4.486578	4.411577	-0.8144609928131104	-0.5179327052291051	0.6045052223076928
MA0039.4.KLF4	179	1.195859	1.2275048	1.6333066	1.51946	-0.08220076560974121	0.0847968141691481	0.9324229263442265
MA0006.1.Ahr::Arnt	50	0.06432931	0.14253315	1.4862584	1.6263629	0.21830837428569794	0.33214840139888413	0.7397772036768352
MA1524.1.MSGN1	5	0.13477927	-0.06535539	0.3560683	0.22733726	-0.328865721821785	-0.11823517498842481	0.9058813198082982
MA0504.1.NR2C2	19	1.5462956	1.9136584	1.4734535	1.7808764	0.6747856140136719	0.7078786364933966	0.4790206275188681
MA1570.1.TFAP4(var.2)	1	8.397002	1.7541244	3.633268	1.0359813	-9.240164637565613	-7.453199868091642	9.110310618037662e-14
MA1651.1.ZFP42	8	-0.48644438	-0.38422096	0.88153934	0.6252446	-0.15407130122184753	0.025639575008664334	0.979544820143894
MA1420.1.IRF5	7	0.03987686	0.29520062	0.12737976	0.5191438	0.6470878161489964	0.6850803473399296	0.4932932208863702
MA0513.1.SMAD2::SMAD3::SMAD4	4	0.26590326	0.7333109	0.40523055	0.7526013	0.8147783875465393	0.8231078596248335	0.4104466596689551
MA0692.1.TFEB	5	1.1489866	2.011407	1.3831729	1.1280932	0.6073406934738159	0.6523641581253794	0.514166280336376
MA0523.1.TCF7L2	6	0.1498985	0.389701	0.43919286	0.39581	0.19641965627670288	0.31413161447575466	0.7534210790766006
MA0138.2.REST	11	-0.41677827	-0.16855985	0.91258967	0.91009456	0.24572330713272095	0.35471386198975746	0.7228039650221477
MA1629.1.Zic2	33	0.58602244	0.8304987	0.6996266	0.9587513	0.5036009550094604	0.5669751114664845	0.5707310911630574
MA1593.1.ZNF317	15	0.075047575	-0.040929396	0.35529464	0.65490305	0.18363143876194954	0.3036055256479275	0.7614284413302468
MA0816.1.Ascl2	13	-0.29557642	-0.24043217	0.43279138	0.47484276	0.09719562530517578	0.23245948443445402	0.8161811520780509
MA0059.1.MAX::MYC	21	0.15149891	0.06472364	1.7678123	1.429586	-0.42500147223472595	-0.19736531546414085	0.8435416699991425
MA1125.1.ZNF384	32	0.6323881	0.7841868	0.41757154	0.66476846	0.398995578289032	0.48087355071673393	0.6306063719287608
MA0676.1.Nr2e1	6	2.8446627	1.4819926	2.3128128	1.5967484	-2.078734517097473	-1.5585668204945475	0.11909894118813734
MA0480.1.Foxo1	7	1.0164007	0.69482076	0.7955343	0.7276259	-0.3894883394241333	-0.16813415873041573	0.8664777370734119
MA0467.1.Crx	2	-0.78419644	-0.3131246	1.0835664	0.72804415	0.11554956436157227	0.2475667652282999	0.804469627836237
MA1654.1.ZNF16	9	1.3663534	1.4639909	1.5769174	1.4332763	-0.04600358009338379	0.11459102040805161	0.9087692974981673
MA0914.1.ISL2	2	-0.14023921	-0.20903242	0.56118923	1.035596	0.40561357140541077	0.48632087621964987	0.6267396800782168
MA0892.1.GSX1	1	0.12911557	0.6876191	0.12947044	0.2917728	0.720805898308754	0.7457583175211117	0.4558134236460326
MA0149.1.EWSR1-FLI1	78	3.0614152	2.1973243	2.121005	1.5405087	-1.444587230682373	-1.0365948835119223	0.29992469880741957
MA0623.2.NEUROG1	2	0.8287184	0.20602083	0.67289954	0.18825474	-1.107342392206192	-0.7590058354345685	0.4478490660444272
MA0100.3.MYB	7	0.92083293	0.41245955	0.90606225	0.4869875	-0.9274481236934662	-0.6109333579530595	0.5412436999198977
MA1584.1.ZIC5	50	1.1094146	0.8706013	1.3669571	1.1217787	-0.4839916229248047	-0.2459206020327599	0.8057436953670937
MA0088.2.ZNF143	11	-1.2806516	-1.2414771	1.7165866	1.8150004	0.1375882625579834	0.26570700209848686	0.7904648702879611
MA0163.1.PLAG1	106	0.7561915	0.7384261	1.0842336	1.229503	0.12750399112701416	0.25740655391453604	0.7968649440164389
MA0684.2.RUNX3	3	1.5922614	1.0029082	0.861756	0.5673999	-0.8837093114852905	-0.5749315756878013	0.565337573945542
MA1509.1.IRF6	2	0.16388609	0.6439277	0.1513615	0.3684109	0.6970909982919693	0.7262383849087884	0.46769264433763835
MA1113.2.PBX2	4	0.5007375	1.0568933	0.3106625	0.7132356	0.9587289690971375	0.9415947876482975	0.3464001393702736
MA0842.2.NRL	2	0.13772906	0.18256341	0.613741	0.7337572	0.16485056281089783	0.288146829524163	0.7732343472342352
MA0122.3.Nkx3-2	3	0.49893036	0.7213018	0.552844	0.8264735	0.49600091576576233	0.5607194555799744	0.5749888019930751
MA0649.1.HEY2	5	-0.47311875	-0.24927235	1.3113767	1.3282183	0.24068805575370789	0.35056930445272894	0.7259114882347055
MA0652.1.IRF8	2	0.26942873	0.6309885	0.16121215	0.4408121	0.64115971326828	0.68020087626189	0.49637727759486727
MA1619.1.Ptf1a(var.2)	20	-0.9677391	-0.367356	2.148127	2.1466515	0.5989075303077698	0.6454227509681307	0.5186532638007733
MA0106.3.TP53	8	0.20229486	0.18283457	0.23741515	0.5085097	0.25163425505161285	0.359579212675194	0.7191618310765627
MA0104.4.MYCN	28	0.4843639	0.54143447	1.7940786	1.4409897	-0.2960183024406433	-0.09119818928092455	0.9273351137039029
MA1615.1.Plagl1	39	0.45638627	0.15071473	1.0719866	0.9686082	-0.4090498983860016	-0.1842354415718952	0.8538287569776752
MA0142.1.Pou5f1::Sox2	3	0.58893365	0.4307903	0.3278035	0.36658275	-0.11936408281326294	0.05420737685548865	0.956769943447212
MA1559.1.SNAI3	3	0.068257056	0.31194556	0.12965307	0.36705297	0.48108840733766556	0.5484448451286916	0.5833864910665899
MA0659.2.MAFG	5	0.032132782	-0.03881544	0.8265854	1.0406469	0.14311327785253525	0.27025468841195965	0.7869643220981241
MA0647.1.GRHL1	5	0.44691795	0.27690697	1.2033228	0.57749116	-0.7958425879478455	-0.5026077404153511	0.6152400861247398
MA0807.1.TBX5	2	-0.028602712	-0.0426369	0.13371803	0.20588662	0.058134399354457855	0.20030786255230015	0.8412398137343484
MA0497.1.MEF2C	8	0.5951343	0.76686573	0.59362626	0.97563004	0.5537351965904236	0.6082410251552497	0.5430276288828498
MA0655.1.JDP2	6	0.124928266	-0.7603061	0.76505286	0.73485655	-0.9154306948184967	-0.6010417117033698	0.5478122046049492
MA1562.1.SOX14	1	15.159456	21.779228	13.046827	14.76615	8.339095115661621	7.0164359100332145	2.275992301332442e-12
MA0688.1.TBX2	6	1.5385659	0.31836575	1.1485319	0.61883676	-1.7498952746391296	-1.2878964888241138	0.19778199790131845
MA0611.1.Dux	21	5.2882595	5.5954585	3.020109	3.0522845	0.3393745422363281	0.43179897712789433	0.6658875230195654
MA1596.1.ZNF460	66	0.8683443	1.076579	1.7890984	1.4238213	-0.15704238414764404	0.02319405179515196	0.9814954833124818
MA0070.1.PBX1	4	4.2015734	2.7195659	1.8562125	1.4809536	-1.8572664260864258	-1.3762745818911464	0.1687366392159475
MA0058.3.MAX	30	0.09764889	0.350235	1.3817762	1.3840415	0.25485143065452576	0.3622272968301524	0.7171821827190297
MA0677.1.Nr2f6	1	0.018377677	0.21442226	0.2494899	0.38415813	0.33071281015872955	0.42466943298724624	0.6710776696414207
MA0063.2.NKX2-5	5	-0.28896496	0.33799198	1.0113248	1.2227747	0.8384069204330444	0.842556702729641	0.3994764147323703
MA1146.1.NR1H4::RXRA	3	0.6159764	0.79973996	1.1164978	0.9557215	0.022987306118011475	0.17137799605449092	0.8639265554159125
MA0035.4.GATA1	4	0.24539235	0.47166243	2.1692371	0.51565605	-1.4273110032081604	-1.0223746761379457	0.3066036014772461
MA0800.1.EOMES	6	0.20372714	0.1504566	0.4276726	0.71708506	0.23614193499088287	0.34682735441815066	0.7287210253652714
MA0627.2.POU2F3	3	5.9558916	3.5517035	4.1665115	2.2976391	-4.27306056022644	-3.3647349452189763	0.0007661722253478991
MA0510.2.RFX5	10	0.43134284	0.5034988	1.9935721	1.6240879	-0.29732823371887207	-0.09227640467545298	0.9264784347138441
MA0809.2.TEAD4	7	0.8865522	1.4225414	0.61742675	0.9074027	0.8259651064872742	0.832315741577597	0.4052307475623126
MA1468.1.ATOH7	1	8.397002	1.7541244	3.633268	1.0359813	-9.240164637565613	-7.453199868091642	9.110310618037662e-14
MA0687.1.SPIC	13	0.61945426	0.26221603	1.4295906	0.91853315	-0.8682956695556641	-0.5622444780587226	0.573949461124947
MA1566.1.TBX3	3	0.44873178	0.73918176	1.1931592	2.0228002	1.1200909614562988	1.074413193579241	0.28263753180359685
MA1120.1.SOX13	1	-0.13580278	0.3456993	0.11074553	0.42309892	0.7938554808497429	0.8058860400731452	0.42030856122379456
MA0869.1.Sox11	1	-0.009526316	0.15985647	0.067402855	0.37106365	0.473043579608202	0.5418230801182663	0.5879403901025748
MA1580.1.ZBTB32	5	0.045306444	0.16723542	0.349829	0.39841488	0.17051486670970917	0.29280916545314695	0.7696680221430094
MA1147.1.NR4A2::RXRA	3	1.2774479	0.8551734	1.3882418	1.1011893	-0.7093270421028137	-0.4313960708060288	0.6661804064007883
MA0813.1.TFAP2B(var.3)	47	0.7167319	0.70810115	1.2322797	0.94977677	-0.2911336421966553	-0.08717758456704187	0.9305303564353594
MA0695.1.ZBTB7C	12	0.61355877	0.4670012	1.2288517	0.91596	-0.45944923162460327	-0.2257195544219274	0.8214195483207445
MA0468.1.DUX4	9	0.45951456	0.39452833	0.34041038	0.3818347	-0.023561924695968628	0.13306293472168895	0.8941436082305788
MA0851.1.Foxj3	3	0.16718832	0.53060037	0.27090666	0.48290047	0.5754058659076691	0.626078334375916	0.5312635621664936
MA1644.1.NFYC	1	0.034051675	0.69052327	0.059367307	0.66006815	1.2571724392473698	1.1872461048285199	0.23513055989483367
MA0766.2.GATA5	11	0.02014866	-0.08099073	2.7956035	0.8921139	-2.0046289805322886	-1.4975699333506571	0.13424502333677124
MA1130.1.FOSL2::JUN	9	-0.50583076	-1.3328887	0.72872955	1.0154334	-0.5403540730476379	-0.2923130062800665	0.7700473153094167
MA1631.1.ASCL1(var.2)	5	-2.3069844	-0.76984644	2.4751217	1.2747762	0.3367924690246582	0.4296736510646932	0.667433052936789
MA0698.1.ZBTB18	17	0.018326312	0.22045298	1.019521	1.4715425	0.6541481465101242	0.690891764329772	0.4896335620500949
MA0616.2.HES2	10	-0.2744223	0.022333473	1.6655033	1.0735881	-0.29515936970710754	-0.09049119456177035	0.9278968909680372
MA0681.2.PHOX2B	2	0.61042345	0.06825341	0.5478111	0.10183381	-0.9881473109126091	-0.6608953667872466	0.5086794175719394
MA1513.1.KLF15	111	1.2433224	1.041133	1.7126914	1.4741865	-0.4406942129135132	-0.21028214160870753	0.8334474726192644
MA0137.3.STAT1	8	1.2681228	1.3666706	2.100118	1.616344	-0.38522613048553467	-0.1646258988936801	0.8692384449759287
MA0866.1.SOX21	4	-0.58470285	-0.29224205	0.537491	0.4440903	0.1990600824356079	0.31630497133802954	0.7517710381404059
MA0593.1.FOXP2	6	0.7768685	0.43455857	0.590808	0.6127781	-0.32033979892730713	-0.1112174165226383	0.9114439409249683
MA0488.1.JUN	21	0.8298754	0.4884652	1.3700147	1.3089689	-0.40245598554611206	-0.17880793674602297	0.8580885131005654
MA1470.1.BACH2(var.2)	4	3.6059103	3.0838199	1.6732944	1.6371882	-0.5581966638565063	-0.30699939205322446	0.7588438349633994
MA0871.2.TFEC	26	1.8321319	1.6154721	1.9373571	1.7851052	-0.36891162395477295	-0.15119729207440694	0.8798200863506753
MA0771.1.HSF4	1	0.9933277	1.19787	0.7194024	1.3000526	0.785192608833313	0.798755557639308	0.4244321648808681
MA0729.1.RARA	4	4.4148693	2.3987966	3.0241764	1.8692228	-3.171026349067688	-2.4576413659473637	0.013985275649780473
MA0526.3.USF2	1	-2.3060343	-3.9577427	2.476284	2.0144446	-2.1135478019714355	-1.5872219265364194	0.11246239040843435
MA1495.1.HOXA1	1	0.697286	0.2674511	0.6261371	0.2721412	-0.7838307917118073	-0.4927207304378907	0.6222099278013631
MA0046.2.HNF1A	1	0.81455266	1.0293559	0.7899881	0.8840756	0.308890700340271	0.4067074718230186	0.6842228520628726
MA0648.1.GSC	2	1.7989624	0.5572144	1.1240727	1.2738156	-1.0920050144195557	-0.7463815114596417	0.45543698455788917
MA1563.1.SOX18	7	1.035311	0.57405615	1.8834664	1.9677505	-0.37697064876556396	-0.15783074282125137	0.8745901729992954
MA0660.1.MEF2B	6	0.07207548	0.5398589	0.8827264	1.2271619	0.8122189119458199	0.8210011338442664	0.41164562237229396
MA1632.1.ATF2	2	0.9637201	0.7678062	1.2292485	0.9315372	-0.4936252236366272	-0.2538500993772863	0.7996113670946223
MA1555.1.RXRB(var.2)	5	0.31448767	0.74050623	0.2645158	0.4743251	0.6358278691768646	0.6758121907818677	0.49915989370267344
MA0069.1.PAX6	3	-0.043415863	-0.6196306	0.053399708	0.2948651	-0.3347493186593056	-0.12307801276995434	0.9020453221561799
MA0814.2.TFAP2C(var.2)	37	-0.21360546	0.19560745	1.1885343	0.92719764	0.1478762924671173	0.2741751655905414	0.7839500121026294
MA0164.1.Nr2e3	3	0.025542662	0.026500084	0.34146413	0.3674674	0.026960693299770355	0.17464852428677136	0.8613558176357456
MA1479.1.DMRTC2	1	1.1889697	0.38898593	5.310123	2.166226	-3.94388085603714	-3.0937843766493502	0.0019762105714655515
MA0689.1.TBX20	2	0.12768427	0.41622064	0.16621737	0.77086973	0.8931887298822403	0.8876480684141933	0.3747300885369508
MA1151.1.RORC	5	-0.222451	-0.31737977	0.16569626	0.60587287	0.3452478349208832	0.4366333334749092	0.6623772843971232
MA0618.1.LBX1	1	0.7585757	0.78833246	0.78146523	0.87500864	0.12330019474029541	0.25394637393795594	0.7995369875767806
MA1625.1.Stat5b	7	1.5490792	0.6541729	2.4917946	1.4324548	-1.9542460441589355	-1.456099316897594	0.14536516637348446
MA1132.1.JUN::JUNB	11	0.23976783	0.034526065	0.8006762	1.0011321	-0.004785865545272827	0.14851766609678116	0.881934245032667
MA1574.1.THRB	4	0.99530077	0.7094849	0.66094774	0.48655862	-0.4602050185203552	-0.22634164893904168	0.8209357076046486
MA0752.1.ZNF410	5	0.79398465	1.345966	0.57861406	0.8724482	0.8458154797554016	0.8486547498908965	0.39607343218778646
MA1648.1.TCF12(var.2)	8	-1.5051403	-0.95777434	1.9784167	1.4137497	-0.01730102300643921	0.13821633528359295	0.890069445315771
MA0830.2.TCF4	10	0.1270366	0.2682647	1.1378648	0.9609315	-0.035705238580703735	0.12306767146725606	0.9020535110680853
MA0032.2.FOXC1	2	1.1088144	1.2584069	0.68754894	1.2425753	0.7046188712120056	0.7324346400905197	0.4639033222630303
MA0143.4.SOX2	4	7.2788486	7.915744	2.8107681	3.6827748	1.508901834487915	1.394446676121611	0.16318276138469623
MA1131.1.FOSL2::JUN(var.2)	4	0.6368463	0.93425155	0.65477335	0.9063331	0.5489649772644043	0.6043146177184064	0.5456344896137688
MA0029.1.Mecom	3	0.4492592	0.2510631	0.45351762	0.21762991	-0.4340837895870209	-0.20484104686317914	0.8376963161684923
MA0821.1.HES5	8	-0.6297569	-0.76598465	1.5680449	1.2227812	-0.48149144649505615	-0.24386268589594004	0.8073371691617215
MA1119.1.SIX2	3	0.24296951	-0.22083896	4.2743683	0.7628221	-3.9753546714782715	-3.1196907374616982	0.001810410072470558
MA0072.1.RORA(var.2)	3	0.08790819	0.204772	0.12952346	0.68571913	0.6730594784021378	0.7064578398299896	0.4799034623868347
MA0707.1.MNX1	4	-0.08576522	-0.113011576	0.30702674	0.23938079	-0.09489230811595917	0.07435029934966883	0.9407316546578403
MA0077.1.SOX9	2	0.106208205	0.58691365	0.08966137	0.46954712	0.8605911955237389	0.8608167651594681	0.3893389698785593
MA1493.1.HES6	1	0.088307396	-0.07379332	0.6286164	0.27262908	-0.5180880278348923	-0.2739856381786569	0.7840956585775083
MA0486.2.HSF1	3	-8.225543	-9.044212	3.7601082	4.5331593	-0.045618295669555664	0.11490815124075088	0.9085179241392426
MA0157.2.FOXO3	2	6.720854	2.0691135	1.9629803	0.7770466	-5.8376739621162415	-4.652581326507137	3.2780538637626406e-06
MA1653.1.ZNF148	120	1.6157784	1.4854271	1.6138238	1.3080941	-0.4360809326171875	-0.20648491200022087	0.8364121492844633
MA1599.1.ZNF682	46	0.31320608	0.6059222	1.5714221	1.5725018	0.2937958240509033	0.39428275285936	0.6933722953311696
MA0461.2.Atoh1	4	0.67163163	0.08314538	0.5459464	0.11013106	-1.0243016108870506	-0.6906542735778012	0.4897828315875482
MA0861.1.TP73	3	-0.10928745	-0.4927904	0.63717973	0.7667872	-0.25389551371335983	-0.05652656946309906	0.9549223299880525
MA0102.4.CEBPA	7	1.6186173	2.1014314	1.556685	1.667931	0.5940600633621216	0.6414327603692859	0.5212415539793029
MA0667.1.MYF6	2	-0.085325636	-0.8342973	0.16151918	0.73143244	-0.17905841022729874	0.0050724765339513886	0.9959527666444308
MA0609.2.CREM	22	2.4099233	1.5028727	1.910054	1.6066432	-1.2104613780975342	-0.8438839354571473	0.3987342659261607
MA1588.1.ZNF136	5	0.31302857	0.22290406	0.37303388	0.4069774	-0.05618101358413696	0.1062138897532609	0.9154126508564123
MA0131.2.HINFP	27	-0.22300577	-0.3856972	1.689009	1.3620304	-0.4896699786186218	-0.25059450411177614	0.8021276312543999
MA0108.2.TBP	5	3.2944534	2.5912404	1.8250564	1.2886621	-1.239607334136963	-0.8678742157201346	0.38546319568408427
MA0639.1.DBP	2	0.028494474	-0.012334322	0.27526125	0.097522564	-0.21856748405843973	-0.027447772685456374	0.9781025954922886
MA0597.1.THAP1	26	0.6781333	0.35485202	1.8599913	1.7563068	-0.4269658327102661	-0.19898219700619738	0.8422766708571214
MA0111.1.Spz1	9	0.50911	0.27361757	0.596679	0.70356	-0.12861138582229614	0.046595844382051915	0.9628353441374811
MA0525.2.TP63	3	4.3701754	4.018095	3.2433078	2.5686646	-1.0267236232757568	-0.6926478522384869	0.48853057234972397
MA0779.1.PAX1	5	3.8704176	4.987028	3.0625904	3.7592204	1.8132405281066895	1.6449504010606297	0.09998003986925326
MA0007.3.Ar	6	0.48128116	0.210599	0.55422556	0.5772204	-0.24768733978271484	-0.05141656956067475	0.9589935816364016
MA1552.1.RARB(var.3)	4	-0.53425074	-1.2114244	0.8468053	1.379472	-0.14450687170028687	0.03351213696777193	0.9732661873682859
MA0773.1.MEF2D	1	0.17545459	0.16064769	0.16284803	0.27353907	0.09588414430618286	0.23137999345179902	0.8170196064096817
MA0151.1.Arid3a	17	0.3773691	0.4199428	1.07944	0.8628464	-0.1740199327468872	0.009219689502031857	0.9926438563063948
MA0724.1.VENTX	5	5.0635386	4.1546946	1.679015	1.422022	-1.165837049484253	-0.8071532772302561	0.4195781804640035
MA1541.1.NR6A1	2	-0.02910851	0.1270623	0.15857556	0.2984438	0.29603904485702515	0.3961291666725773	0.6920097426244494
